3, 6, 690, 10
4, 6, 1436, 14
3, 6, 675, 10
4, 6, 1409, 14
3, 6, 829, 13
4, 6, 1992, 16
3, 6, 864, 13
4, 6, 1633, 16
3, 6, 1026, 16
4, 6, 3095, 30
3, 6, 1017, 16
4, 6, 3220, 30
3, 6, 1022, 9
4, 6, 3456, 25
3, 6, 1006, 9
4, 6, 3269, 25
3, 6, 939, 10
4, 6, 3618, 26
3, 6, 916, 10
4, 6, 3568, 26
3, 6, 906, 9
4, 6, 3617, 31
3, 6, 890, 9
4, 6, 3556, 31
3, 6, 935, 13
4, 6, 2542, 28
3, 6, 936, 13
4, 6, 2738, 28
3, 6, 840, 9
4, 6, 3508, 31
3, 6, 834, 9
4, 6, 3166, 31
4, 6, 2703, 23
4, 6, 2676, 23
4, 6, 2728, 23
4, 6, 2718, 23
4, 6, 2120, 19
4, 6, 2501, 19
4, 6, 2531, 19
4, 6, 2139, 19
3, 6, 702, 10
3, 6, 687, 10
4, 6, 1461, 14
3, 6, 688, 10
4, 6, 1438, 14
3, 6, 822, 13
4, 6, 1603, 16
3, 6, 820, 13
4, 6, 1559, 16
3, 6, 1004, 16
4, 6, 3451, 30
3, 6, 1087, 16
4, 6, 3041, 30
3, 6, 1014, 9
4, 6, 3401, 25
3, 6, 1008, 9
4, 6, 3430, 25
3, 6, 917, 10
4, 6, 3647, 26
3, 6, 921, 10
4, 6, 3547, 26
3, 6, 895, 9
4, 6, 3658, 31
3, 6, 970, 9
4, 6, 3642, 31
3, 6, 916, 13
4, 6, 2532, 28
3, 6, 986, 13
4, 6, 2599, 28
3, 6, 816, 9
4, 6, 3210, 31
3, 6, 1090, 9
4, 6, 3424, 31
4, 6, 2685, 23
4, 6, 2805, 23
4, 6, 2790, 23
4, 6, 2671, 23
4, 6, 2132, 19
4, 6, 2127, 19
4, 6, 2137, 19
4, 6, 2128, 19
3, 6, 677, 10
4, 6, 1334, 14
3, 6, 666, 10
4, 6, 1329, 14
3, 6, 480, 5
4, 6, 1149, 10
3, 6, 455, 5
4, 6, 1121, 10
3, 6, 575, 4
4, 6, 1078, 6
3, 6, 534, 4
4, 6, 1096, 6
3, 6, 438, 4
4, 6, 2250, 11
3, 6, 424, 4
4, 6, 2139, 11
3, 6, 443, 5
4, 6, 1162, 7
3, 6, 489, 5
4, 6, 1367, 7
3, 6, 457, 5
4, 6, 1528, 10
3, 6, 462, 5
4, 6, 1542, 10
3, 6, 480, 4
4, 6, 900, 6
3, 6, 452, 4
4, 6, 889, 6
3, 6, 805, 10
4, 6, 1210, 7
3, 6, 785, 10
4, 6, 1212, 7
3, 6, 1770, 11
4, 6, 2431, 12
3, 6, 1170, 11
4, 6, 1976, 12
3, 6, 775, 8
4, 6, 2145, 13
3, 6, 778, 8
4, 6, 1765, 13
3, 6, 520, 5
4, 6, 938, 5
3, 6, 522, 5
4, 6, 953, 5
3, 6, 1108, 7
4, 6, 1362, 10
3, 6, 973, 7
4, 6, 1415, 10
4, 6, 877, 6
4, 6, 849, 6
4, 6, 836, 6
4, 6, 833, 6
3, 6, 1090, 11
4, 6, 1603, 9
3, 6, 1120, 11
4, 6, 1563, 9
3, 6, 574, 7
4, 6, 1943, 13
3, 6, 618, 7
4, 6, 1911, 13
3, 6, 773, 8
4, 6, 1346, 11
3, 6, 757, 8
4, 6, 1330, 11
3, 6, 529, 5
4, 6, 2766, 13
3, 6, 585, 5
4, 6, 2385, 13
3, 6, 330, 3
4, 6, 885, 4
3, 6, 332, 3
4, 6, 884, 4
3, 6, 518, 7
4, 6, 2044, 13
3, 6, 533, 7
4, 6, 1801, 13
3, 6, 457, 5
4, 6, 1592, 9
3, 6, 478, 5
4, 6, 1518, 9
3, 6, 451, 6
4, 6, 1577, 11
3, 6, 450, 6
4, 6, 1578, 11
3, 6, 1237, 15
4, 6, 2163, 15
3, 6, 1294, 15
4, 6, 1677, 15
3, 6, 514, 6
4, 6, 1694, 8
3, 6, 554, 6
4, 6, 1319, 8
